"participant","response"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"nonword"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"nonword"
1,"nonword"
1,"word"
1,"nonword"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
1,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"nonword"
10,"word"
10,"nonword"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
10,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"word"
11,"nonword"
11,"word"
11,"word"
11,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
12,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"word"
13,"nonword"
13,"word"
13,"word"
13,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"word"
14,"nonword"
14,"word"
14,"word"
14,"word"
14,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"nonword"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"nonword"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
15,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"nonword"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
16,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
2,"word"
